SST (h),Natural Failures,Hard Capacity Removal (%),Natural Loss (%),Total Loss (%),Final Capacity (%),Throttled Load (%),Dropped Load (%),Operational Nodes,alpha,Method,Scenario
9.733333333333333,39,0.0,41.319020399601044,41.319020399601044,58.68097129219672,13.263290504799208,6.744002592233807,61,1.1,GAT-SAC (Ours),3
14.733333333333333,41,0.0,40.16184177978371,40.16184177978371,59.838162585758326,13.25967546789558,6.642875664902389,59,1.1,GAT-SAC (Ours),4
13.083333333333334,41,0.0,40.51934893119543,40.51934893119543,59.480633664059965,13.274046553892054,6.693039607960332,59,1.1,GAT-SAC (Ours),5
13.033333333333333,39,0.0,40.29631185166546,40.29631185166546,59.703684949888945,13.275819211895426,6.656482617732305,61,1.1,GAT-SAC (Ours),6
12.266666666666666,39,0.0,40.486617125443885,40.486617125443885,59.51337597561503,13.270502185661325,6.693322468452929,61,1.1,GAT-SAC (Ours),7
13.383333333333333,39,0.0,40.27780377280744,40.27780377280744,59.72218929498639,13.266438823091859,6.657816665187079,61,1.1,GAT-SAC (Ours),8
11.95,40,0.0,40.65059620897592,40.65059620897592,59.34940024318928,13.267936986840223,6.684880991485686,60,1.1,GAT-SAC (Ours),9
13.116666666666667,42,0.0,41.522757764358,41.522757764358,58.47724110452136,13.273926643042078,6.674128446734581,58,1.1,GAT-SAC (Ours),10
14.683333333333334,40,0.0,41.30953979053056,41.30953979053056,58.690457313675836,13.274676920611132,6.665641088590641,60,1.1,GAT-SAC (Ours),11
13.1,40,0.0,40.88786059279711,40.88786059279711,59.112131807153304,13.27028880877468,6.701656740673154,60,1.1,GAT-SAC (Ours),12
13.049999999999999,41,0.0,40.3743616468013,40.3743616468013,59.62563365254352,13.265562912821213,6.637591352883169,59,1.1,GAT-SAC (Ours),13
10.283333333333333,37,0.0,40.9276987297402,40.9276987297402,59.07230173684624,13.264451531313387,6.707524869335494,63,1.1,GAT-SAC (Ours),14
10.716666666666667,42,0.0,40.154770012507754,40.154770012507754,59.8452282188135,13.267458839235022,6.67103715234805,58,1.1,GAT-SAC (Ours),15
15.483333333333333,39,0.0,40.429178650257036,40.429178650257036,59.57081353986558,13.263601580643911,6.635265080247005,61,1.1,GAT-SAC (Ours),16
14.066666666666666,45,0.0,41.231073391291645,41.231073391291645,58.768925975712826,13.267010289390818,6.662830207401292,55,1.1,GAT-SAC (Ours),17
15.733333333333333,42,0.0,41.28136553924909,41.28136553924909,58.71862527886468,13.275952367589067,6.746218070382297,58,1.1,GAT-SAC (Ours),18
12.533333333333333,37,0.0,40.61359512599882,40.61359512599882,59.386407080053104,13.260934303951307,6.697557242413554,63,1.1,GAT-SAC (Ours),19
10.633333333333333,42,0.0,40.79379096737691,40.79379096737691,59.20621353388961,13.274119461134068,6.642486436025023,58,1.1,GAT-SAC (Ours),20
13.216666666666667,40,0.0,40.42428213957165,40.42428213957165,59.57572379283956,13.274750734640122,6.746964624649186,60,1.1,GAT-SAC (Ours),21
15.716666666666667,41,0.0,40.84796776427171,40.84796776427171,59.152044240628484,13.265554919563227,6.6413990301257515,59,1.1,GAT-SAC (Ours),22
10.85,41,0.0,41.38347557129182,41.38347557129182,58.616521212271635,13.269733270146997,6.69988815535893,59,1.1,GAT-SAC (Ours),23
10.65,38,0.0,40.236750676744265,40.236750676744265,59.76325318740589,13.258256940033325,6.640021717466757,62,1.1,GAT-SAC (Ours),24
11.116666666666667,39,0.0,41.363515605778964,41.363515605778964,58.63648599788338,13.26988590238106,6.660113781337857,61,1.1,GAT-SAC (Ours),25
15.049999999999999,44,0.0,41.086067902722355,41.086067902722355,58.91393022394045,13.265120308377437,6.736045784077371,56,1.1,GAT-SAC (Ours),26
10.5,38,0.0,41.472391786334065,41.472391786334065,58.52761563444483,13.253119238167674,6.7003242775315,62,1.1,GAT-SAC (Ours),27
10.916666666666666,42,0.0,40.08385656996008,40.08385656996008,59.916150019796,13.258740587488566,6.632428672059882,58,1.1,GAT-SAC (Ours),28
10.65,40,0.0,40.484068241143504,40.484068241143504,59.51593410892786,13.246373073279516,6.679635971590956,60,1.1,GAT-SAC (Ours),29
10.266666666666666,40,0.0,41.57285006749675,41.57285006749675,58.42716167394709,13.257900009797238,6.667924808294297,60,1.1,GAT-SAC (Ours),30
9.833333333333334,36,0.0,40.428535981686686,40.428535981686686,59.57145617175353,13.267811622196204,6.655016521185431,64,1.1,GAT-SAC (Ours),31
13.633333333333333,39,0.0,40.60205662622989,40.60205662622989,59.397949331280756,13.252857454340475,6.6304046928566365,61,1.1,GAT-SAC (Ours),32
11.266666666666666,43,0.0,40.63903804595261,40.63903804595261,59.36096166474252,13.259209757536311,6.680385220098535,57,1.1,GAT-SAC (Ours),33
9.85,37,0.0,40.47627355879351,40.47627355879351,59.52372755682358,13.260194318891497,6.644465087790875,63,1.1,GAT-SAC (Ours),34
18.15,43,0.0,40.58858991415123,40.58858991415123,59.41140713129718,13.257911773506144,6.7398377428761895,57,1.1,GAT-SAC (Ours),35
15.15,42,0.0,40.83525380874688,40.83525380874688,59.16473484978253,13.269783975636647,6.671990964965467,58,1.1,GAT-SAC (Ours),36
11.35,38,0.0,40.25064513079252,40.25064513079252,59.74934803657703,13.27550607354267,6.670728333146273,62,1.1,GAT-SAC (Ours),37
17.28333333333333,42,0.0,40.10859611676826,40.10859611676826,59.89140552641261,13.269205992561533,6.64679888937299,58,1.1,GAT-SAC (Ours),38
12.65,37,0.0,40.111220818533816,40.111220818533816,59.88877197790925,13.270647153799505,6.640339470180325,63,1.1,GAT-SAC (Ours),39
17.483333333333334,41,0.0,40.54373262625553,40.54373262625553,59.456261245832096,13.257015181505533,6.667518892181967,59,1.1,GAT-SAC (Ours),40
4.75,43,0.0,41.394988606538334,41.394988606538334,58.60500519666336,0.0,0.09456247356203491,57,1.3,No Defence,1
4.733333333333333,40,0.0,40.18935563385293,40.18935563385293,59.810649862401746,0.0,0.09159828544706836,60,1.3,No Defence,2
4.15,40,0.0,40.6948058584127,40.6948058584127,59.30518649254822,0.0,0.11412251395044493,60,1.3,No Defence,3
4.15,42,0.0,40.78724409249953,40.78724409249953,59.21275883958095,0.0,0.10524935555680554,58,1.3,No Defence,4
5.316666666666666,43,0.0,40.22328429172541,40.22328429172541,59.7767008485634,0.0,0.08377487654305084,57,1.3,No Defence,5
4.016666666666667,35,0.0,41.51919566201198,41.51919566201198,58.48080405493974,0.0,0.11873598616443011,65,1.3,No Defence,6
4.35,42,0.0,41.2322257033284,41.2322257033284,58.76777401508216,0.0,0.1129519580718704,58,1.3,No Defence,7
5.1,44,0.0,40.38059383001746,40.38059383001746,59.61940378787308,0.0,0.08476424147696228,56,1.3,No Defence,8
3.5833333333333335,39,0.0,40.03762849051396,40.03762849051396,59.9623752727251,0.0,0.12006321964363076,61,1.3,No Defence,9
4.466666666666667,42,0.0,40.54286900300545,40.54286900300545,59.457135446069096,0.0,0.09819620796713657,58,1.3,No Defence,10
4.65,39,0.0,40.27276508453152,40.27276508453152,59.72723287317193,0.0,0.09170840357308893,61,1.3,No Defence,11
4.333333333333333,42,0.0,41.16607832606881,41.16607832606881,58.833909191905306,0.0,0.11054269530835115,58,1.3,No Defence,12
3.716666666666667,38,0.0,41.13476537663111,41.13476537663111,58.86523369908275,0.0,0.11977987257559669,62,1.3,No Defence,13
4.8,39,0.0,40.911324215653686,40.911324215653686,59.08867249231978,0.0,0.09752682458196534,61,1.3,No Defence,14
4.3,37,0.0,40.409724918832005,40.409724918832005,59.59027778778242,0.0,0.10580944218589253,63,1.3,No Defence,15
5.533333333333333,40,0.0,40.342013306562485,40.342013306562485,59.657973274404206,0.0,0.08347980772148283,60,1.3,No Defence,16
4.466666666666667,41,0.0,41.062404148123555,41.062404148123555,58.937596498059385,0.0,0.10037436958339988,59,1.3,No Defence,17
5.5,41,0.0,40.91055404043187,40.91055404043187,59.08944002989198,0.0,0.08413064453454866,59,1.3,No Defence,18
4.183333333333334,38,0.0,40.26256445297579,40.26256445297579,59.73744155015945,0.0,0.10699901051735726,62,1.3,No Defence,19
